question|answer
What is Forest Hills Runners?|Forest Hills Runners is a community running group based in Jamaica Plain, MA. We bring together runners of all levels for social runs, track workouts, and long endurance runs.
How do I join a run?|Joining a run is easy! Simply check our schedule for the next run and show up at the designated meeting spot. There’s no need to register or sign up in advance.
Are there any membership fees?|No, Forest Hills Runners is completely free to join. We believe in making running accessible to everyone.
Where and when are your runs?|Check out our running routes page to learn more!
What distance are your runs?|It depends on the day. Monday is usually an easy 3 to 4 mile loop, Thursday track night is flexible, and Saturday groups often choose anything from about 4 miles to 8 or more. You can always ask before the run and find a distance that works for you.
What if I'm a really slow runner?|You are welcome here. Our runs are social and practical, and Saturday groups often split by pace and distance. If you are new, come a few minutes early, introduce yourself, and let someone know what pace or distance feels comfortable.
What if I'm a really fast runner?|Come run with us! We often have people looking for steady miles, workouts, or longer Saturday routes. The group changes week to week, so bring your plan, ask who wants similar miles, and be ready to regroup afterward.
Does FHR do anything except run?|Yes. A lot of the community happens before and after the miles, especially coffee after Saturday runs at J.P. Licks. We also share local race plans, neighborhood events, volunteer opportunities, and the occasional non-running hangout through our social channels.
Does FHR enter races together?|Yes, informally. FHR runners often show up at local road races, cross country races, trail races, and bigger goal races around Boston. We do not require team registration, but if you are racing, ask around and you will probably find company for training, cheering, or post-race food.
Do I need to sign up before my first run?|No signup is needed. Just show up at the listed meeting spot a few minutes early, say hi, and join the group that fits what you want to run that day.
Where do you meet?|Most Monday and Saturday runs meet at the Forest Hills Bike Rotary near the Forest Hills T station's North Entrance. Thursday track night meets at Downes Field Track, with winter details listed on the Run With Us page.
What should I bring?|Bring whatever you normally need for a run: comfortable running shoes, weather-appropriate clothes, water if you like to carry it, and a way to get home. Reflective gear or lights are a good idea for evening runs in darker months.
Are beginners welcome?|Absolutely. Monday is usually the easiest place to start, and Thursday track night can be as relaxed or as structured as you want. Saturday can also work well if you are comfortable choosing a distance and pace with the group.
What happens if the weather is bad?|Use your judgment and check our Instagram or Facebook group for updates if the weather looks questionable. Runs may still happen in light rain or cold, but safety comes first in storms, icy conditions, extreme heat, or poor visibility.
